id	name	region	title
544	Nea Chora	Chania	Schule Nähe Nea Chora-Strand.jpg
558	Paralia Lissos	Chania	Archaeological Museum of Chania 122 - Marble female head, Asklepieion, Lissos, 3rd c. BC.jpg
558	Paralia Lissos	Chania	Archaeological Museum of Chania 121 - Statue of a young man, Lissos, 3rd–1st c. BC.jpg
558	Paralia Lissos	Chania	Archaeological Museum of Chania 092 - Statue of Asklepios, Lissos, early 3rd c. BC.jpg
558	Paralia Lissos	Chania	Archaeological Museum of Chania 061 - Treaty between the Koinon of the Oreioi and Magas of Cyrene, Lissos, 279–271 BC.jpg
558	Paralia Lissos	Chania	Archaeological Museum of Chania 094 - Statues from Asklepieion, Lissos.jpg
558	Paralia Lissos	Chania	Archaeological Museum of Chania 060 - Treaty between the Koinon of the Oreioi and Magas of Cyrene, Lissos, 279–271 BC.jpg
558	Paralia Lissos	Chania	Archaeological Museum of Chania 090 - Statues from Asklepieion, Lissos.jpg
558	Paralia Lissos	Chania	Archaeological Museum of Chania 095 - Statues from Asklepieion, Lissos.jpg
574	Platanias	Chania	Platanias FC, Bus in Chania.jpg
590	Aptera	Chania	Clay pyxis, Minoan funeral ceremony, Aptera, 1300-1250 BC, AM Chania, 076151.jpg
590	Aptera	Chania	Clay pyxis, Minoan funeral ceremony, Aptera, 1300-1250 BC, AM Chania, 076150.jpg
590	Aptera	Chania	Chania Museum Tonpyxis Aptera 03.jpg
590	Aptera	Chania	Chania Museum Tonpyxis Aptera 02.jpg
590	Aptera	Chania	Chania Museum Tonpyxis Aptera 01.jpg
590	Aptera	Chania	Aptera - 300-280 BC - silver stater - head of Artemis Aptera - Apteros Ptolioikos - Chania AM N 2590.jpg
590	Aptera	Chania	Archaeological Museum of Chania 059 - Treaty between Aptera and Kydonia, Aptera, 3rd–2nd c. BC.jpg
590	Aptera	Chania	Archaeological Museum of Chania 115 - Inscribed marble funerary stele, Aptera, 4th c. BC.jpg
833	Paralia Glyfada (Thasos)	Thasos	Glyfada beach 01.jpg
838	Glyfada	Thasos	Glyfada beach 01.jpg
881	Paralia Mytika	Preveza	Mytikas beach.jpg
899	Karavostasi	Thesprotia	Istro Strand Karavostasi 09.jpg
899	Karavostasi	Thesprotia	Istro Strand Karavostasi 03.jpg
899	Karavostasi	Thesprotia	Istro Strand Karavostasi 04.jpg
899	Karavostasi	Thesprotia	Istro Strand Karavostasi 07.jpg
899	Karavostasi	Thesprotia	Istro Strand Karavostasi 05.jpg
954	Agios Stefanos	Corfu	Corfu September 2009 - Agios Stefanos - panoramio.jpg
954	Agios Stefanos	Corfu	Corfu September 2009 - Agios Stefanos Bay - panoramio.jpg
954	Agios Stefanos	Corfu	Corfu September 2009 - near Agios Stefanos - panoramio.jpg
954	Agios Stefanos	Corfu	Corfu September 2009 - near Agios Stefanos - panoramio - maczopikczu.jpg
973	Mandraki	Corfu	View from Palaio Frourio to Mandraki Harbour and Corfu Old Town.jpg
976	Molos	Corfu	Molos Pthiotis, beach.jpg
979	Paralia Agios Gordis	Corfu	Corfu Agios Gordis R04.jpg
979	Paralia Agios Gordis	Corfu	Corfu Agios Gordis R03.jpg
979	Paralia Agios Gordis	Corfu	Corfu Agios Gordis R01.jpg
979	Paralia Agios Gordis	Corfu	Corfu Agios Gordis R02.jpg
979	Paralia Agios Gordis	Corfu	Corfu Agios Gordis R05.jpg
999	Paralia NAOK	Corfu	Nautical Athletic Club of Corfu (NAOK).jpg
999	Paralia NAOK	Corfu	Old Fortress Corfu from NAOK 2026-04-24.jpg
999	Paralia NAOK	Corfu	Ionian Academy view from NAOK, Corfu 2026-03-09.jpg
999	Paralia NAOK	Corfu	Corfu Contrafossa facing NAOK.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R04.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R03.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R01.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R02.jpg
3102	Paralia Agios Gordis (Levkimmi)	Corfu	Corfu Agios Gordis R05.jpg
